name,institution,price($),Number of people purchased
Python全栈9期：django基础,路飞学城,19.00,11
Python零基础快速就业基础班/网络爬虫/人工智能/商业项目,链度学院,98.00,0
Flask项目实战,逻辑教育,1680.00,83
Python邮件系统发送附件,东方琦智,32.20,1
Web安全攻防,逻辑教育,1340.00,82
Python数据分析实战篇：从数据搜集到数据可视化完成房价数据分析,智捷课堂,89.00,5
数据结构和算法,逻辑教育,1340.00,82
Python全栈+AI集训课程,誉天教育,98.00,0
Python开发入门课程,智游,188.00,0
Python爬虫实战,达亚学院,1680.00,70
Python爬虫开发环境与Docker,博学谷,99.00,0
黑客安全特训营,逻辑教育,50.00,89
数据分析可视化—pandas+MatplotLib数据可视化PyECharts高级实战,北京盛久盈天科技有限公司,799.00,1
Python核心编程,逻辑教育,1340.00,1
Python挖掘算法—Scipy快速入门及案例讲解,北京盛久盈天科技有限公司,499.00,1
Python数据分析库—Numpy基础教程,北京盛久盈天科技有限公司,499.00,1
Python爬虫基础入门到进阶实战,日月光华,198.00,3
Python数据采集天猫、51job案例、豆瓣、图片抓取案例,北京盛久盈天科技有限公司,499.00,2
Python零基础入门到爬虫实战,日月光华,78.00,7
Python语言基础教程—零基础Python快速入门教程,北京盛久盈天科技有限公司,499.00,0
Python3.x全新大型项目从入门到实战第6季,北京思无限科技有限责任公司,30.00,10
python—GUI项目特训,逻辑教育,39.90,34
撩课-Python-爬虫系列-数据解析,撩课教育,88.00,1
数据分析入门到实战特训,逻辑教育,49.90,123
Python网络爬虫基础与实战,蜗牛学院,198.00,2
3天Redis分布式缓存数据库（Python定制版）,北京思无限科技有限责任公司,68.00,10
Python神奇的图像修复技术,东方琦智,13.14,2
Python从入门到精通：零基础快速入门课程,Stone,69.00,1
Python【核心技术】-案例篇,郭扬,30.00,8
撩课-Python-爬虫系列-网络实战,撩课教育,78.00,3
python-网络安全特训,逻辑教育,29.90,48
Python从小白到大牛：第一篇【Python】基础,智捷课堂,19.00,1
python爬虫项目特训,逻辑教育,19.90,236
大白话学懂利用Python构建推荐系统（提供配套资料）,北京思无限科技有限责任公司,108.00,2
Python全套班预定链接,达亚学院,200.00,105
Python开发实训班,逻辑教育,450.00,46
Python7天快速入门精品班,居然,98.00,36
Python全栈习题课,北京图灵学院,368.00,3
Python界面编程 PyQt5 GUI开发基础与实战,爱室丽,198.00,9
Python人工智能VIP体验班【六星教育】,六星云课堂,200.00,868
人工智能必备高等数学基础-AI入门课程|python机器学习,万和IT教育,199.00,0
Python爬虫商业实战,舟炬线上课堂,12.90,9
1天搞定Python进阶课程-Matplotlib绘图,覃秉丰,48.00,5
跟着王进老师学Python之Django篇第四季：数据库开发之ORM模型,联科教育,199.00,1
！！不再开放购买，Python全栈c04：Ansible Web项目开发实战,李哲,388.00,3
【云知梦】Python数据分析,云知梦,99.00,4
青少年学Python/零基础/趣味编程/AI人工智能,武汉博师信息技术有限公司,198.00,1
跟着王进老师学Python之Django篇第三季：超市前端收银系统,联科教育,199.00,1
python精选入门直播,逻辑教育,99.00,58
Python爬虫视频课程：中国女性胸部大小分析,李宁,199.00,1
跟着王进老师学Python之Django篇第二季：数据库开发之原生SQL,联科教育,99.00,1
Angular+Django前后端分离实战项目开发教程,北京胜蓝博创教育科技有限公司,149.00,2
七天训练营：数据自动采集机器人,胡松,30.00,13
Python3 零基础到实战开发 基础篇 【限时优惠】,EASON,98.00,4
Python全栈+AI工程师,誉天教育,13800,7
CRM客户关系管理系统实战开发,路飞学城,251.00,1
跟着王进老师学Python之Django篇第一季：Django框架入门,联科教育,99.00,14
Python初级课程,上海数据分析网,39.00,0
与清华博士一起学习金融量化分析,路飞学城,299.00,8
最常用Python web框架Django入门与实践,路飞学城,19.90,428
14天搞定Flask Web框架开发实战,路飞学城,79.00,7
MySQL数据库从入门至进阶,路飞学城,79.00,7
清华博士带你学习算法入门,路飞学城,59.00,12
Python全栈+人工智能VIP班,圆方圆学院,999.00,6
千台服务器管理系统开发实战,路飞学城,69.00,6
Python基础/python全栈/运维自动化/爬虫/人工智能【可分段购买】,圆方圆学院,999.00,70
BBS论坛Web聊天室开发,路飞学城,69.00,6
【云知梦】Python Django框架高级篇/高手进阶,云知梦,39.00,2
从0开始构建适合特定环境的CMDB系统,路飞学城,79.00,14
Flask web应用开发,南京拓西信息技术有限公司,12.00,52
极客营-Python Scrapy网络爬虫框架,极客教育,20.00,33
Python与机器学习,广州泰迪智能科技有限公司,399.00,1
Ptyhon零基础到入门精讲篇,楚才国科,298.00,18
【云知梦】Python3数据库操作/众多开源主流数据库,云知梦,59.00,3
人工智能数据收集之Python网络爬虫精髓篇【楚才国科】,楚才国科,498.00,8
业界一致好评的Python入门教程（下）,北京思无限科技有限责任公司,30.00,43
【云知梦】Python3高并发编程/多进程,云知梦,39.00,11
企业级实战：​Python教育项目教程,北京思无限科技有限责任公司,88.00,4
Python之Tornado开发硬件实时监控系统,张金龙,98.00,7
Python100例,离岛,100.00,4
Python之Tornado开发弹幕视频聊天室,张金龙,98.00,8
师傅带徒弟学：Python Web之Django框架,智捷课堂,199.00,5
【云知梦】Django Web框架/Python最牛框架,云知梦,99.00,3
师傅带徒弟学：Python Web之Flask框架,智捷课堂,149.00,8
Python面向对象编程详解|Python基础专题【尚学堂-中软承志】,尚学高科,12.00,32
Python基础教程|Python 400集 基础部分（第一季）【尚学堂】,尚学高科,30.00,27
Python入门初步|12小时学会Python编程【尚学堂】,尚学高科,15.00,45
机器学习实战课程 第一阶段,上海数据分析网,1599.00,0
大仙带你学PYTHON基础篇,大仙,12.00,1
机器学习实战课程 第二阶段,上海数据分析网,2000.00,0
Python前端精通课程,智超,98.00,2
跟着王进老师学Python：通过案例讲 List集合,联科教育,29.00,3
师傅带徒弟学：Python游戏开发引擎cocos2d-python,智捷课堂,49.00,8
python零基础到精通小项目实战（2）,智锋互联,12.00,0
